invCode,invPercentage,invCapStock,invIndustry
002475,8.81,702258.39,C
002415,7.98,934341.72,C
002410,7.43,118701.24,I
300750,6.4,232947.4,C
601888,5.36,195247.55,L
300628,4.48,90228.35,C
300454,4.35,41380.83,I
300413,4.31,178037.75,R
603039,4.3,21718.15,I
600570,4.26,104409.08,I
600763,3.65,32064.0,Q
603444,3.64,7186.46,I
300782,3.55,18531.15,C
000100,3.34,1403078.84,C
002607,3.22,616739.94,P
688368,3.15,6160.0,I
300496,2.6,42315.01,I
300037,2.58,41079.29,C
002049,2.26,60681.8,C
603068,1.02,15042.5,C
603986,0.98,47439.65,C
600984,0.92,96695.69,C
688229,0.87,4440.0,I
002230,0.69,222473.77,I
688981,0.53,789919.81,C
688286,0.35,5320.0,C
688301,0.18,7254.78,C
688063,0.12,15484.45,C
002555,0.12,221786.43,I
300919,0.1,56965.0,C
688777,0.09,49408.4,I
688608,0.08,12000.0,C
688686,0.08,8247.57,C
300925,0.07,12947.01,I
300908,0.07,10000.0,C
688136,0.06,19870.07,C
688560,0.05,16408.77,C
688219,0.05,45928.36,C
688668,0.04,8514.0,C
688698,0.04,18000.0,C
688571,0.04,32000.0,C
688590,0.04,18202.23,I
688699,0.04,7436.8,I
688308,0.03,10000.0,C
688678,0.03,17335.0,C
688618,0.03,5052.75,C
688156,0.03,9184.0,N
300896,0.03,21636.0,C
688679,0.02,13168.97,N
688617,0.02,6667.0,C
300926,0.02,14213.34,C
300927,0.01,8020.0,C
300900,0.01,21024.0,C
003026,0.01,9976.0,C
300891,0.01,40000.0,C
003029,0.01,18040.0,I
003028,0.01,10960.0,C
300872,0.01,22468.2,I
605179,0.01,40100.0,C
300898,0.01,12400.0,C
300890,0.01,10000.0,C
300902,0.01,12798.0,C
300895,0.01,9697.02,I
300884,0.01,12000.0,C
300369,0.01,79810.06,I
300909,0.01,10090.67,C
300873,0.01,13333.33,G
300892,0.01,10000.0,F
300882,0.01,15725.34,C
300910,0.01,15000.0,C
300864,0.01,4800.0,N
605155,0.01,9600.0,C
