invCode,invPercentage,invCapStock,invIndustry
688169,5.95,6666.67,C
002475,5.92,702258.39,C
002410,5.51,118701.24,I
300750,5.36,232947.4,C
300450,4.99,90732.25,C
300454,4.23,41380.83,I
300782,4.0,18531.15,C
688111,3.64,46100.0,I
603267,3.32,23147.6,C
600570,3.27,104409.08,I
300413,2.82,178037.75,R
002179,2.61,110088.37,C
603799,2.5,121290.44,C
002985,2.47,15016.0,C
600862,2.46,139304.91,C
300699,2.43,51835.0,C
688002,2.25,44500.0,C
601633,2.08,917595.33,C
603039,1.93,21718.15,I
300253,1.89,214151.33,I
300662,1.84,18285.6,L
002153,1.78,107111.22,I
002230,1.73,222473.77,I
000858,1.71,388160.8,C
689009,1.64,0,C
002050,1.58,359160.15,C
603129,1.56,13437.82,C
300015,1.52,412151.8,Q
300896,1.47,21636.0,C
603486,1.31,57254.4,C
603712,1.25,77200.0,C
601888,1.24,195247.55,L
688023,0.97,7407.41,I
002920,0.88,55000.0,C
300760,0.73,121569.13,C
300012,0.55,166513.57,M
605288,0.54,5050.04,C
601318,0.43,1828024.14,J
688180,0.13,87249.6,C
300888,0.1,42649.23,C
688536,0.09,8000.0,I
688063,0.08,15484.45,C
688608,0.08,12000.0,C
300999,0.05,542159.15,C
688106,0.05,48433.34,C
688057,0.04,27600.0,N
688050,0.04,10513.93,C
688777,0.03,49408.4,I
688686,0.03,8247.57,C
300919,0.03,56965.0,C
688095,0.03,4814.0,I
688301,0.02,7254.78,C
300900,0.02,21024.0,C
300870,0.02,10120.0,C
688179,0.02,10093.34,M
688221,0.02,35976.0,C
688578,0.02,45000.0,C
300910,0.02,15000.0,C
688157,0.02,7960.0,C
688222,0.02,40068.0,M
688330,0.02,10000.0,C
688596,0.01,25650.0,C
300898,0.01,12400.0,C
688529,0.01,12800.0,C
688550,0.01,7018.16,C
300873,0.01,13333.33,G
688136,0.01,19870.07,C
300903,0.01,17233.77,C
300901,0.01,24000.0,M
688386,0.01,7000.0,C
688559,0.01,20000.0,C
300912,0.01,11196.8,N
688127,0.01,40284.5,C
688135,0.01,13640.0,C
300902,0.01,12798.0,C
300892,0.01,10000.0,F
688229,0.01,4440.0,I
300907,0.01,9600.0,C
688313,0.01,45880.23,C
300925,0.01,12947.01,I
300887,0.01,7600.0,M
688393,0.01,9334.0,C
300864,0.01,4800.0,N
300889,0.01,15600.0,C
688569,0.01,21066.67,C
300895,0.01,9697.02,I
300880,0.01,13336.0,C
300876,0.01,9600.0,C
688378,0.01,7313.67,C
300883,0.01,34600.0,C
300879,0.01,16000.0,C
300911,0.01,10666.67,C
688617,0.01,6667.0,C
300918,0.01,36000.0,C
300882,0.01,15725.34,C
688093,0.01,17200.0,C
688160,0.01,8400.0,C
300917,0.01,10000.0,K
300922,0.01,11200.8,C
300893,0.01,10000.0,C
688129,0.01,12000.0,C
601568,0.01,361111.11,C
300881,0.01,10000.0,C
300920,0.01,10000.0,C
300869,0.01,40179.68,C
605009,0.01,10667.0,C
688678,0.01,17335.0,C
688668,0.01,8514.0,C
