invCode,invPercentage,invCapStock,invIndustry
002475,7.68,702258.39,C
300750,6.43,232947.4,C
688111,6.42,46100.0,I
603501,5.99,86759.94,C
300628,5.97,90228.35,C
/01810,5.01,2520379.1902,X
300454,4.03,41380.83,I
/00700,3.95,959452.4331,X
300014,3.64,188886.54,C
600845,3.54,115543.88,I
688023,3.32,7407.41,I
600183,3.16,229082.01,C
300413,3.16,178037.75,R
300124,2.71,171972.34,C
002607,2.49,616739.94,P
688036,2.25,80000.0,C
000636,1.96,89523.31,C
002410,1.78,118701.24,I
/06969,1.73,593907.272,X
688019,1.71,5310.84,C
002179,1.29,110088.37,C
002409,1.24,46285.35,C
605111,1.23,10120.0,C
603236,1.12,11182.37,C
603678,1.07,45985.17,C
/01797,1.05,99969.8102,X
600570,1.03,104409.08,I
300433,0.99,497348.0,C
002156,0.95,132903.69,C
000063,0.78,461343.49,C
688608,0.72,12000.0,C
300638,0.69,24190.42,C
688686,0.66,8247.57,C
688012,0.65,53486.22,C
002859,0.65,41132.95,C
/01347,0.42,130010.1954,X
300285,0.4,100381.03,C
300226,0.15,19093.06,I
