invCode,invPercentage,invCapStock,invIndustry
002594,8.81,286114.29,C
300750,8.34,232947.4,C
600885,7.18,74476.16,C
300037,6.45,41079.29,C
600563,6.22,22500.0,C
002460,5.51,135592.22,C
603799,5.47,121290.44,C
603179,5.12,36781.72,C
002050,5.07,359160.15,C
688005,4.29,44738.34,C
688006,3.95,40100.0,C
603659,3.76,49602.84,C
002850,3.74,23292.05,C
603786,3.27,40010.0,C
600660,2.98,250861.75,C
300035,2.94,64258.28,C
300258,2.08,48177.08,C
688567,2.05,107066.97,C
300450,2.02,90732.25,C
603290,1.24,16000.0,C
688116,1.03,23185.81,C
688388,0.97,23087.6,C
600933,0.72,86008.95,C
601995,0.03,482725.69,J
300999,0.01,542159.15,C
688339,0.01,7050.0,C
688390,0.01,8800.0,C
