invCode,invPercentage,invCapStock,invIndustry
300750,9.49,232947.4,C
600031,9.11,848405.84,C
601012,9.09,386639.48,C
600438,8.95,450154.82,C
002812,6.5,88727.29,C
600309,5.23,313974.66,C
300274,4.81,145693.94,C
002601,4.02,223961.03,C
002271,3.91,234773.72,C
600176,3.9,350230.68,C
002460,3.75,135592.22,C
600426,3.54,162665.98,C
603806,3.34,76955.24,C
688005,2.67,44738.34,C
601899,2.47,2547324.05,B
300124,2.1,171972.34,C
000786,2.06,168950.78,C
688599,2.01,206802.64,C
002493,1.7,675035.0,C
688408,1.6,13571.55,C
601636,1.18,268621.69,C
002459,0.77,159533.25,C
688390,0.55,8800.0,C
300763,0.55,14566.08,C
600346,0.48,703909.98,C
002597,0.39,56090.33,C
002064,0.32,463351.92,C
688578,0.01,45000.0,C
688595,0.01,10000.0,C
300903,0.01,17233.77,C
688617,0.01,6667.0,C
