invCode,invPercentage,invCapStock,invIndustry
600519,9.87,125619.78,C
000858,9.52,388160.8,C
000568,6.41,146475.25,C
600809,6.16,87152.83,C
000333,5.81,704143.57,C
600887,4.59,608262.48,C
000651,4.18,601573.09,C
601888,4.02,195247.55,L
600276,3.8,533171.7,C
002304,3.55,150698.8,C
002475,3.37,702258.39,C
000596,2.86,50360.0,C
601318,2.72,1828024.14,J
000799,2.68,32492.9,C
603899,2.65,92742.76,C
600690,2.5,932991.31,C
600600,2.04,136418.28,C
603517,1.81,60863.07,C
002624,1.58,193996.81,I
000661,1.53,40472.03,C
601601,1.39,962034.15,J
603369,1.38,125450.0,C
002032,1.22,82108.39,C
603259,1.09,245051.57,M
000860,1.03,74176.7,C
300760,0.99,121569.13,C
600036,0.93,2521984.56,J
300015,0.91,412151.8,Q
300894,0.12,40500.0,C
688686,0.09,8247.57,C
688579,0.07,40001.0,I
688618,0.03,5052.75,C
688617,0.03,6667.0,C
300926,0.02,14213.34,C
003022,0.02,102736.0,C
003021,0.02,10667.0,C
300927,0.02,8020.0,C
601686,0.01,141155.66,C
003029,0.01,18040.0,I
003028,0.01,10960.0,C
605186,0.01,13600.0,C
605179,0.01,40100.0,C
605500,0.01,20000.0,C
605377,0.01,20386.67,C
003020,0.01,9264.0,F
605183,0.01,41401.8,C
605258,0.01,8800.0,C
003027,0.01,8667.0,N
003023,0.01,8103.2,C
003025,0.01,8039.0,C
605155,0.01,9600.0,C
300876,0.01,9600.0,C
605299,0.01,41149.9,C
