invCode,invPercentage,invCapStock,invIndustry
600031,7.02,848405.84,C
000568,5.27,146475.25,C
000858,5.19,388160.8,C
600309,4.76,313974.66,C
601336,4.52,311954.66,J
688006,4.36,40100.0,C
600885,4.27,74476.16,C
601318,3.98,1828024.14,J
600486,3.74,30989.89,C
603369,3.65,125450.0,C
601100,3.45,130536.0,C
000333,3.44,704143.57,C
300575,3.23,13804.95,C
600519,2.7,125619.78,C
601601,2.56,962034.15,J
002142,2.55,600801.63,J
300705,2.39,23468.0,C
601128,2.1,274085.59,J
002050,2.04,359160.15,C
600426,2.03,162665.98,C
300408,1.96,181690.6,C
603086,1.9,15849.0,C
600521,1.39,145460.8,C
600176,1.14,350230.68,C
603416,1.12,14056.0,C
601899,1.07,2547324.05,B
002475,0.98,702258.39,C
688390,0.16,8800.0,C
688339,0.15,7050.0,C
688055,0.14,333333.34,C
300863,0.13,5523.0,C
688063,0.12,15484.45,C
300888,0.08,42649.23,C
688510,0.08,25838.26,C
688686,0.08,8247.57,C
688595,0.07,10000.0,C
300913,0.07,12250.0,C
688556,0.07,16185.14,C
688777,0.07,49408.4,I
688313,0.06,45880.23,C
688229,0.05,4440.0,I
688379,0.04,8800.0,C
300912,0.04,11196.8,N
688136,0.04,19870.07,C
605009,0.04,10667.0,C
300999,0.03,542159.15,C
688013,0.03,8000.0,C
688590,0.03,18202.23,I
688698,0.03,18000.0,C
300896,0.02,21636.0,C
300926,0.01,14213.34,C
300891,0.01,40000.0,C
300927,0.01,8020.0,C
003026,0.01,9976.0,C
300867,0.01,27174.11,N
003029,0.01,18040.0,I
003028,0.01,10960.0,C
605179,0.01,40100.0,C
300898,0.01,12400.0,C
300877,0.01,12000.0,C
300900,0.01,21024.0,C
300872,0.01,22468.2,I
300919,0.01,56965.0,C
