invCode,invPercentage,invCapStock,invIndustry
601318,5.57,1828024.14,J
600519,5.01,125619.78,C
000858,2.85,388160.8,C
600036,2.8,2521984.56,J
000333,2.73,704143.57,C
600276,2.39,533171.7,C
000651,2.04,601573.09,C
002475,1.85,702258.39,C
601012,1.77,386639.48,C
601888,1.75,195247.55,L
600031,1.74,848405.84,C
002415,1.49,934341.72,C
603288,1.47,324044.32,C
300059,1.47,861313.65,J
600887,1.43,608262.48,C
000002,1.38,1161773.22,K
601166,1.35,2077419.08,J
002352,1.32,455644.05,G
002594,1.3,286114.29,C
600585,1.28,529930.26,C
600900,1.28,2274185.92,D
002714,1.19,375933.03,A
600309,1.06,313974.66,C
601628,1.06,2826470.5,J
601818,1.05,5403190.98,J
300015,1.01,412151.8,Q
601899,0.99,2547324.05,B
600104,0.98,1168346.14,C
000725,0.96,3479839.88,C
002027,0.92,1467788.03,L
300760,0.89,121569.13,C
600030,0.86,1292677.6,J
603501,0.85,86759.94,C
000661,0.85,40472.03,C
601088,0.85,1986852.0,B
002839,0.84,180795.78,J
601668,0.83,4196507.15,E
601857,0.82,18302097.78,B
300750,0.72,232947.4,C
600028,0.69,12107120.96,B
600048,0.68,1196949.33,K
000568,0.67,146475.25,C
601211,0.6,890844.83,J
603259,0.59,245051.57,M
300124,0.55,171972.34,C
300363,0.54,54255.25,C
600000,0.54,2935214.09,J
601128,0.53,274085.59,J
603323,0.5,180306.88,J
601688,0.48,907665.0,J
300413,0.48,178037.75,R
600926,0.48,593020.04,J
600015,0.47,1538722.4,J
603208,0.47,10506.09,C
000786,0.46,168950.78,C
601838,0.46,361225.13,J
600436,0.46,60331.72,C
002156,0.45,132903.69,C
000589,0.45,95631.95,C
002791,0.45,32154.0,C
300408,0.44,181690.6,C
002958,0.44,555555.56,J
601860,0.44,366088.89,J
300188,0.43,80672.68,I
600012,0.43,165861.0,G
601997,0.43,321802.87,J
600496,0.43,201287.43,C
002258,0.43,52438.07,C
002607,0.43,616739.94,P
002335,0.42,46156.74,C
300119,0.42,40449.35,C
300737,0.42,63537.16,C
002705,0.42,82672.78,C
603301,0.41,22720.47,C
000776,0.39,762108.77,J
600928,0.38,444444.44,J
002230,0.37,222473.77,I
603613,0.36,23717.26,I
000902,0.34,130452.93,C
600919,0.34,1476960.66,J
601901,0.33,823210.14,J
601169,0.31,2114298.43,J
000166,0.29,2503994.46,J
688368,0.28,6160.0,I
300122,0.27,160000.0,C
002614,0.27,61867.08,C
000538,0.27,127740.33,C
600390,0.26,449806.55,J
600809,0.24,87152.83,C
300677,0.24,35222.63,C
601678,0.23,170240.16,C
000623,0.23,116304.15,C
601995,0.23,482725.69,J
688111,0.23,46100.0,I
600739,0.23,152970.98,F
600061,0.23,422712.97,J
002624,0.22,193996.81,I
603238,0.22,12362.0,C
002932,0.21,6900.51,C
601377,0.21,669667.17,J
000586,0.21,19344.0,C
600837,0.21,1306420.0,J
600718,0.2,124237.03,I
002241,0.19,341632.1,C
002344,0.19,128274.5,L
300529,0.18,79910.91,C
000860,0.17,74176.7,C
300782,0.17,18531.15,C
603882,0.17,45948.76,Q
000001,0.17,1940591.82,J
600600,0.17,136418.28,C
002669,0.16,25249.29,C
002891,0.16,19607.51,C
300751,0.16,5724.83,C
002142,0.15,600801.63,J
300566,0.15,15520.05,C
601225,0.14,1000000.0,B
002127,0.14,245487.04,L
002940,0.14,9594.68,C
002179,0.14,110088.37,C
300394,0.14,21699.27,C
002736,0.14,961242.94,J
600009,0.14,192695.84,G
002945,0.13,270000.0,J
002460,0.13,135592.22,C
000686,0.13,234045.29,J
600155,0.13,173955.66,J
688399,0.13,5862.0,C
002926,0.13,262500.0,J
300639,0.13,23538.18,C
002939,0.13,310340.54,J
300347,0.12,87248.35,Q
600258,0.12,98771.55,H
600438,0.12,450154.82,C
600966,0.12,133684.43,C
603129,0.12,13437.82,C
603661,0.12,10000.0,C
600763,0.11,32064.0,Q
601881,0.11,1013725.88,J
300101,0.11,55734.0,C
000923,0.11,65272.9,B
600109,0.11,302435.93,J
000532,0.11,34470.83,S
601919,0.11,1225952.92,G
002384,0.11,170986.73,C
000100,0.1,1403078.84,C
601138,0.1,1987237.69,C
601677,0.1,66135.66,C
002044,0.1,391425.39,Q
600961,0.1,52745.79,C
002311,0.09,166121.08,C
688567,0.09,107066.97,C
688289,0.07,40000.0,C
688055,0.05,333333.34,C
300999,0.04,542159.15,C
688179,0.03,10093.34,M
688519,0.03,23440.0,C
688595,0.03,10000.0,C
300911,0.02,10666.67,C
688617,0.02,6667.0,C
300896,0.02,21636.0,C
688160,0.01,8400.0,C
688590,0.01,18202.23,I
688056,0.01,6700.0,C
300926,0.01,14213.34,C
300919,0.01,56965.0,C
