invCode,invPercentage,invCapStock,invIndustry
002624,4.98,193996.81,I
002352,4.13,455644.05,G
300059,3.71,861313.65,J
300760,3.68,121569.13,C
603259,3.56,245051.57,M
600862,3.32,139304.91,C
600519,3.16,125619.78,C
300122,3.12,160000.0,C
300699,3.11,51835.0,C
000547,2.99,160542.16,C
000860,2.84,74176.7,C
002049,2.6,60681.8,C
/00175,2.59,981870.154,X
002025,2.58,42900.0,C
600079,2.37,163307.19,C
000636,2.18,89523.31,C
601877,2.12,214997.36,C
002304,2.11,150698.8,C
/03690,1.99,588852.281,X
/06098,1.94,298693.8304,X
/01066,1.94,452233.2324,X
600885,1.76,74476.16,C
000738,1.2,114564.23,C
601899,1.14,2547324.05,B
603517,1.14,60863.07,C
/00981,0.97,789919.8076,X
300395,0.6,33794.88,C
300482,0.3,34257.09,C
600161,0.27,125444.02,C
603939,0.2,55297.2,F
300558,0.19,41316.29,C
/01801,0.17,145560.0997,X
603882,0.16,45948.76,Q
603233,0.15,65862.12,F
688029,0.14,13334.0,C
002821,0.14,24262.67,C
300759,0.14,79438.75,M
300630,0.11,43702.93,C
600529,0.1,59496.77,C
300151,0.1,50250.0,C
000739,0.1,117852.35,C
688016,0.1,7197.81,C
300015,0.09,412151.8,Q
600763,0.09,32064.0,Q
603392,0.09,43360.0,C
002901,0.05,40223.58,C
600276,0.04,533171.7,C
688063,0.02,15484.45,C
688608,0.02,12000.0,C
300999,0.02,542159.15,C
688686,0.01,8247.57,C
/06855,0.01,25273.3273,X
