invCode,invPercentage,invCapStock,invIndustry
600486,5.08,30989.89,C
000858,4.56,388160.8,C
600660,4.43,250861.75,C
000333,4.04,704143.57,C
601318,4.0,1828024.14,J
600519,3.76,125619.78,C
000002,3.52,1161773.22,K
600887,3.13,608262.48,C
600183,3.03,229082.01,C
002352,2.99,455644.05,G
002027,2.97,1467788.03,L
002142,2.96,600801.63,J
000001,2.9,1940591.82,J
601601,2.53,962034.15,J
000895,1.97,346466.12,C
002555,1.97,221786.43,I
000625,1.94,543959.16,C
600741,1.89,315272.4,C
000651,1.87,601573.09,C
601225,1.87,1000000.0,B
601238,1.69,1035099.29,C
000921,1.59,136272.54,C
601633,1.56,917595.33,C
600690,1.54,932991.31,C
002601,1.41,223961.03,C
000338,1.35,793387.39,C
603136,1.14,11655.06,N
601899,1.07,2547324.05,B
601668,1.03,4196507.15,E
002415,0.99,934341.72,C
000661,0.99,40472.03,C
002064,0.96,463351.92,C
600346,0.95,703909.98,C
603198,0.93,80000.0,C
600970,0.78,173764.7,E
002409,0.78,46285.35,C
300258,0.4,48177.08,C
688063,0.14,15484.45,C
688390,0.1,8800.0,C
688185,0.07,24744.99,C
688686,0.07,8247.57,C
300894,0.06,40500.0,C
688558,0.05,13200.0,C
688596,0.04,25650.0,C
600036,0.04,2521984.56,J
300925,0.03,12947.01,I
300903,0.03,17233.77,C
300999,0.03,542159.15,C
688500,0.03,7427.45,I
688069,0.02,5947.0,N
688335,0.02,7252.15,C
300920,0.02,10000.0,C
688698,0.02,18000.0,C
688590,0.01,18202.23,I
300896,0.01,21636.0,C
688618,0.01,5052.75,C
300926,0.01,14213.34,C
300900,0.01,21024.0,C
300927,0.01,8020.0,C
300919,0.01,56965.0,C
