invCode,invPercentage,invCapStock,invIndustry
300747,8.58,28800.0,801080
300316,8.23,128568.94,801730
300523,6.7,23263.76,801750
002449,6.56,61847.72,801080
300630,5.52,43702.93,801150
300253,5.25,214151.33,801750
002001,5.08,214866.23,801150
002025,5.02,42900.0,801740
300378,4.98,26626.74,801750
002138,4.97,80631.84,801080
300395,4.95,33794.88,801050
002179,4.63,110088.37,801740
002049,4.49,60681.8,801080
300699,4.48,51835.0,801030
300775,3.26,49550.0,801740
300445,3.18,21638.01,801890
300674,2.91,41336.52,801750
300687,2.77,21709.7,801750
002063,0.2,110248.61,801750
002191,0.2,146487.05,801140
002281,0.2,69785.19,801770
002933,0.19,11735.0,801740
300863,0.08,5523.0,801880
603161,0.07,13340.0,801880
300999,0.06,542159.15,801010
300788,0.06,19015.15,801760
002142,0.04,600801.63,801780
300865,0.03,9568.0,801890
300896,0.03,21636.0,801150
300867,0.01,27174.11,801160
300919,0.01,56965.0,801030
300872,0.01,22468.2,801750
300900,0.01,21024.0,801740
300927,0.01,8020.0,801030
300877,0.01,12000.0,801130
300868,0.01,12800.0,801080
300894,0.01,40500.0,801110
