invCode,invPercentage,invCapStock,invIndustry
601668,6.16,4196507.15,801720
600383,5.98,451458.36,801180
600048,5.96,1196949.33,801180
000002,5.88,1161773.22,801180
002230,5.76,222473.77,801750
601318,5.06,1828024.14,801790
000069,4.92,820179.39,801180
002081,4.85,268335.87,801720
600036,4.03,2521984.56,801780
002989,3.95,15140.0,801720
000656,3.63,533971.58,801180
600585,3.56,529930.26,801710
000338,3.52,793387.39,801880
601166,3.13,2077419.08,801780
603517,2.63,60863.07,801120
300577,2.37,24016.52,801130
002142,2.27,600801.63,801780
000921,2.15,136272.54,801110
000501,2.08,76899.27,801200
002925,1.99,45972.73,801080
600030,1.97,1292677.6,801790
600461,1.49,94803.84,801160
002475,1.38,702258.39,801080
600970,1.28,173764.7,801720
601939,1.22,25001097.75,801780
600987,1.21,108081.88,801130
603359,1.11,31864.0,801720
601225,1.02,1000000.0,801020
601117,0.87,493300.0,801720
002078,0.62,262468.04,801140
000526,0.6,11776.27,801760
/06169,0.19,335513.9983,000000
688567,0.17,107066.97,801730
000858,0.1,388160.8,801120
600079,0.09,163307.19,801150
603369,0.08,125450.0,801120
000651,0.07,601573.09,801110
002601,0.07,223961.03,801030
600690,0.07,934822.82,801110
300122,0.06,160000.0,801150
000568,0.05,146475.25,801120
000333,0.05,704143.57,801110
000001,0.05,1940591.82,801780
300999,0.05,542159.15,801010
688050,0.05,10513.93,801150
688526,0.04,46500.0,801010
603899,0.04,92742.76,801140
002993,0.04,18080.0,801080
688777,0.03,49408.4,801730
000513,0.03,93909.55,801150
002182,0.03,64642.25,801050
003011,0.03,7334.0,801140
603658,0.03,45097.87,801150
688165,0.03,52178.0,801890
688658,0.03,45000.0,801150
002928,0.02,101356.76,801170
300894,0.02,40500.0,801110
300896,0.02,21636.0,801150
300136,0.01,96756.86,801080
688155,0.01,7563.0,801890
688418,0.01,19361.0,801770
002241,0.01,341632.1,801080
688157,0.01,7960.0,801030
688386,0.01,7000.0,801880
688617,0.01,6667.0,801150
300869,0.01,40179.68,801150
688551,0.01,8000.0,801890
