invCode,invPercentage,invCapStock,invIndustry
000858,9.95,388160.8,801120
600519,9.88,125619.78,801120
600809,9.56,87152.83,801120
601888,9.46,195247.55,801210
000568,9.1,146475.25,801120
000333,7.51,704143.57,801110
002714,4.29,375933.03,801010
603288,4.26,324044.32,801120
600887,4.02,608262.48,801120
603369,3.32,125450.0,801120
603589,3.05,60000.0,801120
300482,3.0,34257.09,801150
000596,3.0,50360.0,801120
002304,2.44,150698.8,801120
002027,1.87,1467788.03,801760
600438,1.71,450154.82,801730
601995,1.63,482725.69,801790
600690,1.31,934822.82,801110
002311,0.81,166121.08,801010
300677,0.74,35222.85,801150
300896,0.62,21636.0,801150
600298,0.61,82408.09,801010
000860,0.49,74176.7,801120
002607,0.45,616739.94,801760
600884,0.42,162800.92,801080
603198,0.29,80000.0,801120
300999,0.16,542159.15,801010
300144,0.14,261469.4,801210
000799,0.13,32492.9,801120
000888,0.11,52691.31,801210
688526,0.09,46500.0,801010
600872,0.09,79663.72,801120
003029,0.02,18040.0,801750
003028,0.02,10960.0,801080
605179,0.02,40100.0,801120
605155,0.01,9600.0,801030
605277,0.01,13344.0,801730
002901,0.01,40223.58,801150
003031,0.01,10666.67,801770
