invCode,invPercentage,invCapStock,invIndustry
601166,7.57,2077419.08,801780
600048,5.29,1196949.33,801180
002384,4.81,170986.73,801080
600219,4.34,1195048.15,801050
601688,4.17,907665.0,801790
000001,4.03,1940591.82,801780
601318,3.68,1828024.14,801790
601818,3.32,5403191.38,801780
601009,3.25,1000701.7,801780
600958,3.19,699365.58,801790
600383,3.16,451458.36,801180
601211,3.1,890844.84,801790
000002,3.09,1161773.22,801180
601233,3.08,228753.1,801030
000983,2.93,409656.0,801020
000725,2.9,3479839.88,801080
000961,2.39,382170.48,801180
600352,2.08,325333.19,801030
600029,2.01,1532930.24,801170
601398,1.98,35640625.71,801780
000671,1.74,413815.04,801180
600104,1.66,1168346.14,801880
601377,1.56,669667.17,801790
601021,1.19,91646.27,801170
601838,1.17,361225.13,801780
688298,1.07,12000.0,801150
000785,1.06,652903.69,801200
600109,1.03,302435.93,801790
600066,0.99,221393.92,801880
600985,0.9,222492.12,801020
601628,0.88,2826470.5,801790
601899,0.8,2547324.05,801050
002241,0.7,341632.1,801080
002928,0.69,101356.76,801170
300059,0.62,861313.65,801790
002128,0.6,192157.35,801020
002600,0.51,705795.41,801080
002034,0.51,42136.5,801160
601225,0.49,1000000.0,801020
601088,0.49,1986852.0,801020
601111,0.48,1452481.52,801170
002938,0.45,231143.08,801080
601168,0.44,238300.0,801050
002126,0.27,79209.51,801880
601995,0.13,482725.69,801790
300866,0.12,40642.72,801080
300999,0.05,542159.15,801010
688017,0.04,12041.67,801890
688508,0.03,11280.0,801080
300896,0.02,21636.0,801150
688519,0.02,23440.0,801080
688330,0.02,10000.0,801730
688386,0.01,7000.0,801880
688335,0.01,7252.15,801160
688617,0.01,6667.0,801150
688219,0.01,45928.36,801030
688600,0.01,13334.0,801890
688560,0.01,16408.77,801730
