invCode,invPercentage,invCapStock,invIndustry
688169,5.95,6666.67,801890
002475,5.92,702258.39,801080
002410,5.51,118701.24,801750
300750,5.36,232947.4,801730
300450,4.99,90732.25,801890
300454,4.23,41380.83,801750
300782,4.0,18531.15,801080
688111,3.64,46100.0,801750
603267,3.32,23147.6,801740
600570,3.27,104409.08,801750
300413,2.82,178037.75,801760
002179,2.61,110088.37,801740
603799,2.5,121290.44,801050
002985,2.47,15016.0,801740
600862,2.46,139304.91,801740
300699,2.43,51835.0,801030
688002,2.25,44500.0,801080
601633,2.08,917595.33,801880
603039,1.93,21718.15,801750
300253,1.89,214151.33,801750
300662,1.84,18285.6,801210
002153,1.78,107111.22,801750
002230,1.73,222473.77,801750
000858,1.71,388160.8,801120
689009,1.64,0.0,801880
002050,1.58,359160.15,801110
603129,1.56,13437.82,801880
300015,1.52,412151.8,801150
300896,1.47,21636.0,801150
603486,1.31,57254.4,801890
603712,1.25,77200.0,801770
601888,1.24,195247.55,801210
688023,0.97,7407.41,801750
002920,0.88,55000.0,801750
300760,0.73,121569.13,801150
300012,0.55,166513.57,801230
605288,0.54,5050.04,801730
601318,0.43,1828024.14,801790
688180,0.13,87249.6,801150
300888,0.1,42649.23,801130
688536,0.09,8000.0,801080
688063,0.08,15484.45,801730
688608,0.08,12000.0,801080
300999,0.05,542159.15,801010
688106,0.05,48433.34,801030
688057,0.04,27600.0,801890
688050,0.04,10513.93,801150
688777,0.03,49408.4,801730
688686,0.03,8247.57,801890
300919,0.03,56965.0,801030
688095,0.03,4814.0,801750
688301,0.02,7254.78,801150
300900,0.02,21024.0,801740
300870,0.02,10120.0,801730
688179,0.02,10093.34,801030
688221,0.02,35976.0,801150
688578,0.02,45000.0,801150
300910,0.02,15000.0,801030
688157,0.02,7960.0,801030
688222,0.02,40068.0,801150
688330,0.02,10000.0,801730
688596,0.01,25650.0,801890
300898,0.01,12400.0,801120
688529,0.01,12800.0,801890
688550,0.01,7018.16,801030
300873,0.01,13333.33,801170
688136,0.01,19870.07,801150
300903,0.01,17233.77,801080
300901,0.01,24000.0,801130
688386,0.01,7000.0,801880
688559,0.01,20000.0,801890
300912,0.01,11196.8,801880
688127,0.01,40284.5,801080
688135,0.01,13640.0,801080
300902,0.01,12798.0,801890
300892,0.01,10000.0,801120
688229,0.01,4440.0,801750
300907,0.01,9600.0,801730
688313,0.01,45880.23,801770
300925,0.01,12947.01,801750
300887,0.01,7600.0,801230
688393,0.01,9334.0,801150
300864,0.01,4800.0,801160
300889,0.01,15600.0,801080
688569,0.01,21066.67,801890
300895,0.01,9697.02,801750
300880,0.01,13336.0,801730
300876,0.01,9600.0,801030
688378,0.01,7313.67,801890
300883,0.01,34600.0,801140
300879,0.01,16000.0,801890
300911,0.01,10666.67,801110
688617,0.01,6667.0,801150
300918,0.01,36000.0,801130
300882,0.01,15725.34,801730
688093,0.01,17200.0,801080
688160,0.01,8400.0,801890
300917,0.01,10000.0,801180
300922,0.01,11200.8,801740
300893,0.01,10000.0,801880
688129,0.01,12000.0,801030
601568,0.01,361111.11,801030
300881,0.01,10000.0,801040
300920,0.01,10000.0,801030
300869,0.01,40179.68,801150
605009,0.01,10667.0,801140
688678,0.01,17335.0,801080
688668,0.01,8514.0,801770
