invCode,invPercentage,invCapStock,invIndustry
/00291,6.21,324417.6905,000000
/00700,5.67,959452.4331,000000
000333,4.99,704143.57,801110
/03690,4.99,588852.281,000000
/02313,4.25,150322.2397,000000
/00667,4.18,219696.0206,000000
600519,3.49,125619.78,801120
/01093,2.99,1197376.9732,000000
688526,2.9,46500.0,801010
000858,2.81,388160.8,801120
/01801,2.72,145560.0997,000000
/01579,2.54,104690.0,000000
/01336,2.45,311954.66,000000
/02382,2.37,109684.97,000000
/00175,2.34,981870.154,000000
/06169,2.28,335513.9983,000000
/02269,2.27,421014.8571,000000
/00966,1.95,359401.8538,000000
/02020,1.81,270332.9,000000
/00772,1.79,101578.1716,000000
002475,1.77,702258.39,801080
/06862,1.76,530000.0,000000
/02018,1.76,120850.0,000000
/00762,1.7,3059812.4345,000000
/00839,1.54,227255.2,000000
000895,1.48,346466.12,801120
000596,1.43,50360.0,801120
000568,1.38,146475.25,801120
/00880,1.28,568144.4293,000000
/00388,1.25,126783.6895,000000
/01896,1.21,113909.6201,000000
/01999,1.19,395879.52,000000
002557,0.99,50700.0,801120
600809,0.98,87152.83,801120
/00027,0.89,435010.6651,000000
/00941,0.81,2047548.2897,000000
/02001,0.64,158556.154,000000
002705,0.59,82672.78,801110
/01177,0.06,1886149.923,000000
