invCode,invPercentage,invCapStock,invIndustry
000333,3.08,704143.57,801110
600519,3.07,125619.78,801120
600887,3.02,608262.48,801120
000568,3.01,146475.25,801120
603259,2.97,245051.57,801150
300015,2.84,412151.8,801150
601166,2.82,2077419.08,801780
000002,2.79,1161773.22,801180
601318,2.76,1828024.14,801790
601658,2.74,9238396.76,801780
601211,2.71,890844.84,801790
000001,2.22,1940591.82,801780
600036,2.21,2521984.56,801780
000725,2.18,3479839.88,801080
002027,2.04,1467788.03,801760
300059,2.0,861313.65,801790
600999,1.94,869652.68,801790
600031,1.9,848522.14,801890
300146,1.79,158102.06,801120
601668,1.78,4196507.15,801720
300124,1.77,171972.34,801730
001965,1.74,617822.87,801170
002415,1.69,934341.72,801080
000858,1.64,388160.8,801120
002736,1.6,961242.94,801790
600900,1.58,2274185.92,801160
000338,1.58,793387.39,801880
002179,1.52,110088.37,801740
300003,1.35,180458.11,801150
000166,1.28,2503994.46,801790
600406,1.27,462149.38,801730
002714,1.22,375933.03,801010
002230,1.19,222473.77,801750
600837,1.13,1306420.0,801790
000581,1.1,100895.06,801880
002508,1.08,94902.41,801110
601600,1.03,1702267.3,801050
600583,1.02,442135.48,801020
300408,0.99,181690.6,801080
002008,0.94,106707.21,801080
601225,0.92,1000000.0,801020
002607,0.92,616739.94,801760
601688,0.77,907665.0,801790
000651,0.76,601573.09,801110
300737,0.75,63537.16,801710
601888,0.72,195247.55,801210
300274,0.7,145693.94,801730
300142,0.63,154623.71,801150
001979,0.58,792324.26,801180
601601,0.57,962034.15,801790
000538,0.52,127740.33,801150
600741,0.44,315272.4,801880
300618,0.44,30961.71,801050
000895,0.43,346466.12,801120
300450,0.43,90732.25,801890
601899,0.41,2547324.05,801050
002236,0.41,299557.96,801080
601168,0.41,238300.0,801050
002372,0.4,159211.3,801710
002382,0.39,104743.64,801150
001872,0.38,192236.51,801170
601138,0.37,1987237.69,801080
601615,0.37,195092.87,801730
603501,0.36,86813.23,801080
600309,0.33,313974.66,801030
603986,0.3,47439.65,801080
300136,0.28,96756.86,801080
300498,0.27,637346.38,801010
603993,0.26,2159924.06,801050
600346,0.23,703909.98,801030
603238,0.23,12362.0,801130
002202,0.22,422506.76,801730
600028,0.22,12107120.96,801030
603043,0.2,40399.62,801120
002600,0.2,705795.41,801080
603236,0.19,11182.37,801770
601336,0.18,311954.66,801790
002258,0.13,52464.33,801030
600507,0.12,215595.02,801040
002318,0.11,97717.07,801040
300119,0.11,40449.35,801010
000586,0.1,19344.0,801770
603605,0.09,20111.69,801030
