invCode,invPercentage,invCapStock,invIndustry
600519,7.63,125619.78,801120
300760,7.27,121569.13,801150
601888,5.52,195247.55,801210
002475,5.16,702258.39,801080
600276,5.13,533171.7,801150
601012,4.77,386639.48,801730
300750,4.03,232947.4,801730
600570,4.01,104409.08,801750
000858,3.54,388160.8,801120
000333,3.36,704143.57,801110
300726,3.25,40010.0,801080
600845,3.22,115543.88,801750
300454,2.74,41380.83,801750
002027,2.63,1467788.03,801760
600690,2.62,934822.82,801110
688111,2.53,46100.0,801750
603501,2.51,86813.23,801080
300696,2.13,17877.0,801740
300413,2.12,178037.75,801760
002555,2.06,221786.43,801760
600893,1.64,266559.42,801740
688157,1.43,7960.0,801030
600809,1.01,87152.83,801120
300059,0.98,861313.65,801790
600438,0.96,450154.82,801730
603533,0.91,43889.68,801760
688608,0.86,12000.0,801080
300559,0.82,39953.02,801750
688023,0.8,7407.41,801750
300529,0.61,79910.91,801150
300015,0.6,412151.8,801150
300595,0.43,60762.29,801150
688027,0.22,8000.0,801770
603658,0.19,45097.87,801150
300866,0.17,40642.72,801080
300762,0.12,21419.95,801740
688393,0.05,9334.0,801150
300999,0.04,542159.15,801010
300869,0.03,40179.68,801150
688600,0.03,13334.0,801890
688160,0.03,8400.0,801890
688122,0.02,44127.2,801050
300782,0.02,18531.15,801080
300867,0.01,27174.11,801160
605009,0.01,10667.0,801140
300870,0.01,10120.0,801730
300877,0.01,12000.0,801130
300872,0.01,22468.2,801750
300853,0.01,8162.8,801890
003026,0.01,9976.0,801080
300871,0.01,11050.7,801010
300861,0.01,40001.0,801890
300878,0.01,8043.91,801150
300891,0.01,40000.0,801030
300873,0.01,13333.33,801170
003028,0.01,10960.0,801080
300868,0.01,12800.0,801080
300884,0.01,12000.0,801750
605179,0.01,40100.0,801120
300892,0.01,10000.0,801120
300887,0.01,7600.0,801230
605377,0.01,20386.67,801140
