invCode,invPercentage,invCapStock,invIndustry
688561,5.9,67961.6,801750
002624,5.88,193996.81,801760
600570,5.61,104409.08,801750
000725,5.39,3479839.88,801080
688023,4.76,7407.41,801750
600556,4.66,180774.76,801760
002371,4.58,49644.58,801080
300253,4.55,214151.33,801750
300454,4.15,41380.83,801750
300133,3.95,175567.37,801760
002832,3.61,53492.78,801130
000547,2.76,160542.16,801740
300770,2.73,23105.81,801760
300785,2.65,8890.8,801760
000538,2.49,127740.33,801150
605168,2.32,6967.78,801760
300750,2.27,232947.4,801730
300207,2.26,157462.7,801080
002475,2.15,702258.39,801080
300860,2.11,13694.07,801210
300122,2.07,160000.0,801150
600438,2.07,450154.82,801730
688981,2.03,789919.81,801080
002241,1.97,341632.1,801080
300463,1.32,55682.89,801150
002912,0.95,17447.1,801750
003029,0.03,18040.0,801750
003028,0.03,10960.0,801080
605155,0.02,9600.0,801030
605179,0.02,40100.0,801120
605277,0.01,13344.0,801730
003030,0.01,12478.0,801120
003031,0.01,10666.67,801770
