invCode,invPercentage,invCapStock,invIndustry
603129,5.7,13437.82,C
300073,4.9,45362.05,C
601012,3.89,386639.48,C
002850,3.41,23292.05,C
688122,3.11,44127.2,C
000636,3.0,89523.31,C
300014,2.81,188886.54,C
002179,2.7,110088.37,C
600176,2.68,350230.68,C
600346,2.6,703909.98,C
603456,2.52,83140.61,C
603960,2.25,26094.45,C
300759,2.11,79438.75,M
000786,2.07,168950.78,C
300274,1.98,145693.94,C
600399,1.9,197210.0,C
002985,1.9,15016.0,C
300726,1.9,40010.0,C
300037,1.89,41079.29,C
601233,1.83,228753.1,C
600031,1.82,848405.84,C
688388,1.81,23087.6,C
688390,1.8,8800.0,C
300207,1.78,157462.69,C
300777,1.75,40001.0,C
688002,1.69,44500.0,C
002497,1.66,115256.25,C
603678,1.64,45985.17,C
300763,1.64,14566.08,C
002064,1.59,463351.92,C
002709,1.57,54612.94,C
002812,1.57,88727.29,C
603993,1.57,2159924.06,B
603799,1.34,121290.44,C
603317,1.24,63044.44,C
300395,1.19,33794.88,C
300390,1.18,55127.6,C
000913,1.08,45353.6,C
688186,1.04,16480.0,C
002074,1.03,128054.45,C
002340,1.02,478352.23,C
688598,0.99,8000.0,C
603267,0.97,23147.6,C
603906,0.96,34435.1,C
600298,0.86,82408.09,C
002414,0.83,159185.29,C
002977,0.82,7150.0,C
300122,0.76,160000.0,C
600966,0.69,133684.43,C
300258,0.66,48177.08,C
002430,0.51,96460.38,C
688063,0.08,15484.45,C
300866,0.08,40642.72,C
688256,0.07,40010.0,I
688686,0.03,8247.57,C
688777,0.03,49408.4,I
300999,0.02,542159.15,C
688658,0.02,45000.0,C
300894,0.02,40500.0,C
688221,0.02,35976.0,C
688286,0.01,5320.0,C
300896,0.01,21636.0,C
688556,0.01,16185.14,C
688559,0.01,20000.0,C
688136,0.01,19870.07,C
688338,0.01,8164.8,C
688377,0.01,19466.7,C
300880,0.01,13336.0,C
