invCode,invPercentage,invCapStock,invIndustry
300750,6.78,232947.4,C
300618,4.82,30961.71,C
000547,4.61,160542.16,C
002709,4.6,54612.94,C
300037,4.44,41079.29,C
300224,3.88,82021.66,C
000049,3.87,20719.77,C
600699,3.79,136808.46,C
002179,3.27,110088.37,C
688388,2.78,23087.6,C
300769,2.76,8962.47,C
002466,2.67,147709.94,C
603659,2.6,49602.84,C
688116,2.55,23185.81,C
601233,2.5,228753.1,C
002850,2.24,23292.05,C
300454,2.07,41380.83,I
002389,2.0,94606.27,C
002812,1.98,88727.29,C
002407,1.86,69689.05,C
600760,1.79,140038.93,C
600741,1.69,315272.4,C
603179,1.65,36781.72,C
601225,1.55,1000000.0,B
000002,1.53,1161773.22,K
000651,1.49,601573.09,C
300450,1.1,90732.25,C
300192,1.02,29702.34,C
002125,0.97,62948.17,C
600346,0.88,703909.98,C
002544,0.75,68331.98,I
600990,0.74,15917.91,C
002935,0.67,20800.65,C
300327,0.61,28285.42,C
300078,0.61,86941.15,C
002081,0.59,268335.87,E
600499,0.54,188841.99,C
688318,0.46,6667.0,I
300496,0.41,42315.01,I
300763,0.2,14566.08,C
002230,0.08,222473.77,I
688063,0.04,15484.45,C
300999,0.02,542159.15,C
688311,0.01,11467.0,C
688301,0.01,7254.78,C
688165,0.01,52178.0,C
300896,0.01,21636.0,C
688516,0.01,9867.0,C
