invCode,invPercentage,invCapStock,invIndustry
002709,5.87,54612.94,C
000977,4.04,145372.13,C
601231,2.28,220960.91,C
000661,2.27,40472.03,C
300113,1.97,69428.72,I
002129,1.76,303292.65,C
002938,1.61,231143.08,C
300450,1.6,90732.25,C
300014,1.52,188886.54,C
000636,1.51,89523.31,C
002241,1.47,341632.1,C
600030,1.2,1292677.6,J
300433,1.19,497348.0,C
002475,1.11,702258.39,C
002074,1.08,128054.45,C
300133,1.02,175567.37,R
600584,0.99,160287.46,C
002415,0.97,934341.72,C
002185,0.96,274000.38,C
002179,0.94,110088.37,C
600176,0.93,350230.68,C
002080,0.9,167812.36,C
603799,0.9,121290.44,C
002812,0.87,88727.29,C
002138,0.86,80631.84,C
600760,0.85,140038.93,C
300628,0.83,90228.35,C
002555,0.79,221786.43,I
300502,0.78,36220.45,C
600109,0.75,302435.93,J
002230,0.75,222473.77,I
300144,0.74,261469.4,R
002299,0.74,124440.58,A
688981,0.73,789919.81,C
300316,0.72,128568.94,C
600845,0.71,115543.88,I
002025,0.7,42900.0,C
000877,0.68,104872.3,C
688099,0.68,41112.0,I
603068,0.66,15042.5,C
600837,0.65,1306420.0,J
300750,0.64,232947.4,C
603338,0.61,48548.56,C
601966,0.6,137351.24,C
603290,0.6,16000.0,C
002127,0.59,245487.04,L
002531,0.58,177901.9,C
688008,0.58,113103.03,C
002202,0.58,422506.76,C
300413,0.56,178037.75,R
300613,0.56,8000.06,I
600817,0.56,52228.34,C
300567,0.55,24668.33,C
000725,0.54,3479839.88,C
603718,0.53,64400.0,C
300760,0.52,121569.13,C
600038,0.51,58947.67,C
600882,0.51,41530.9,C
600585,0.5,529930.26,C
002273,0.5,121768.83,C
300054,0.5,93302.22,C
300207,0.49,157462.69,C
000063,0.49,461343.49,C
600031,0.48,848405.84,C
603859,0.47,13915.23,M
601233,0.46,228753.1,C
002013,0.44,388482.48,C
600887,0.43,608262.48,C
000538,0.43,127740.33,C
002714,0.42,375933.03,A
002876,0.4,12480.0,C
600036,0.39,2521984.56,J
601799,0.37,27615.52,C
600486,0.37,30989.89,C
002195,0.37,572484.77,I
002050,0.36,359160.15,C
300223,0.36,46897.74,C
000998,0.35,131697.03,A
002511,0.35,131148.71,C
603345,0.33,24442.44,C
600196,0.33,256289.85,C
603131,0.32,31797.71,C
601717,0.32,173247.14,C
300059,0.32,861313.65,J
002353,0.32,95785.4,C
002311,0.3,166121.08,C
300438,0.3,41953.74,C
600217,0.29,138865.98,C
603026,0.28,20268.0,C
688036,0.28,80000.0,C
002466,0.28,147709.94,C
600420,0.27,102695.94,C
300383,0.27,154313.99,I
300595,0.27,60762.29,C
601138,0.27,1987237.69,C
603444,0.26,7186.46,I
002212,0.26,117693.24,I
000963,0.26,174980.95,F
600703,0.26,447934.13,C
000970,0.25,106520.0,C
000066,0.25,292818.21,C
000915,0.25,23433.15,C
002460,0.25,135592.22,C
600426,0.25,162665.98,C
300463,0.25,55682.89,C
601995,0.24,482725.69,J
002624,0.24,193996.81,I
600563,0.23,22500.0,C
300017,0.23,245301.22,I
300896,0.22,21636.0,C
688111,0.22,46100.0,I
002035,0.22,86923.03,C
002371,0.22,49644.58,C
300607,0.21,26616.84,C
600372,0.21,192821.43,C
688561,0.21,67961.6,I
603496,0.2,20086.13,C
000034,0.2,65956.07,F
002215,0.2,91375.64,C
002815,0.2,88254.68,C
603283,0.2,17924.48,C
000513,0.2,93909.55,C
002444,0.19,114343.85,C
300346,0.19,40689.08,C
603825,0.19,22861.56,I
688256,0.18,40010.0,I
600285,0.18,56780.9,C
601318,0.18,1828024.14,J
601668,0.18,4196507.15,E
000967,0.18,316306.21,N
605099,0.18,40225.2,C
600009,0.17,192695.84,G
600093,0.17,112244.75,L
688185,0.17,24744.99,C
600803,0.16,284585.36,D
300308,0.16,71301.63,C
300782,0.16,18531.15,C
300866,0.16,40642.72,C
300770,0.16,23105.81,I
688029,0.15,13334.0,C
603968,0.15,20448.0,C
002831,0.14,93720.33,C
002850,0.14,23292.05,C
688177,0.13,41408.0,C
002690,0.13,67600.0,C
600409,0.13,206434.94,C
600690,0.12,932991.31,C
300709,0.12,11555.99,C
600745,0.12,124507.91,C
300068,0.12,86054.74,C
002236,0.12,299557.96,C
300388,0.12,69895.92,N
688298,0.12,12000.0,C
300888,0.12,42649.23,C
601766,0.12,2869886.41,C
002075,0.12,220677.18,C
002318,0.11,97717.07,C
002027,0.11,1467788.03,L
002739,0.11,223072.51,R
688063,0.11,15484.45,C
002036,0.11,104789.68,C
300406,0.11,58899.72,C
300168,0.11,118758.48,I
688065,0.11,41668.2,C
688339,0.11,7050.0,C
688289,0.11,40000.0,C
600259,0.1,30180.23,B
300785,0.1,8890.8,I
000997,0.1,105044.17,I
300196,0.1,40870.04,C
000026,0.1,43575.19,F
600580,0.1,130891.86,C
601166,0.1,2077419.08,J
002007,0.1,182436.67,C
300033,0.09,53760.0,J
002570,0.09,102252.0,C
600958,0.09,699365.58,J
300570,0.09,22999.68,C
002120,0.09,289912.22,G
600138,0.09,72384.0,L
002065,0.09,311548.24,I
002955,0.09,23645.45,C
000910,0.09,54739.75,C
000876,0.09,450643.88,C
300129,0.09,71915.33,C
002196,0.09,46869.49,C
300140,0.09,42724.41,C
600977,0.09,186700.0,R
688050,0.09,10513.93,C
603929,0.08,21336.0,E
688608,0.08,12000.0,C
600271,0.08,185285.0,C
601555,0.08,388051.89,J
600029,0.08,1532930.24,G
002409,0.08,46285.35,C
300100,0.08,40655.59,C
002123,0.08,81154.11,I
601699,0.07,299140.92,B
600136,0.07,58461.86,R
300365,0.07,60571.3,I
002044,0.07,391425.39,Q
002640,0.07,155804.13,F
600895,0.07,154868.96,K
002479,0.07,86500.0,D
002727,0.07,59619.05,F
688568,0.07,22000.0,I
600380,0.07,195662.92,C
300603,0.07,42152.95,I
600066,0.07,221393.92,C
600153,0.07,286355.25,F
300236,0.07,29064.89,C
600050,0.07,3101185.33,I
002405,0.06,228113.16,I
002707,0.06,90627.18,L
600571,0.06,43927.74,I
000488,0.06,298420.82,C
300137,0.06,55103.26,C
300385,0.06,33314.59,C
603626,0.06,49088.55,C
601688,0.06,907665.0,J
002110,0.06,245157.62,C
600141,0.06,111939.27,C
603605,0.06,20111.69,C
600352,0.06,325333.19,C
600869,0.06,221935.27,C
002559,0.06,55672.3,C
603839,0.06,40010.22,C
600436,0.06,60331.72,C
688011,0.06,10000.0,C
603989,0.06,39626.01,C
601989,0.06,2280203.53,C
600507,0.05,215595.02,C
002686,0.05,56623.91,C
688505,0.05,104300.0,C
002536,0.05,50071.18,C
600673,0.05,301389.73,S
002009,0.05,37054.94,C
300861,0.05,40001.0,C
688166,0.05,41000.0,C
688095,0.05,4814.0,I
600332,0.05,162579.09,C
600060,0.05,130848.12,C
688508,0.05,11280.0,I
600114,0.05,61638.94,C
600373,0.05,135506.37,R
600603,0.05,125702.68,S
002349,0.05,83572.44,C
002468,0.05,153080.22,G
688085,0.05,20533.35,C
600273,0.05,143273.05,C
600198,0.05,88210.85,C
001979,0.04,792324.26,K
300894,0.04,40500.0,C
600340,0.04,391372.03,K
600183,0.04,229082.01,C
300468,0.04,28329.91,I
603508,0.04,27252.19,C
603195,0.04,60057.59,C
603214,0.04,14263.82,F
002279,0.04,71125.56,I
002699,0.04,90957.27,R
688100,0.04,50000.0,C
002156,0.03,132903.69,C
688488,0.03,42000.0,C
000009,0.03,257921.4,S
688330,0.03,10000.0,C
002400,0.03,174333.71,L
688550,0.03,7018.16,C
600826,0.03,53592.09,L
688286,0.03,5320.0,C
002878,0.03,22141.41,L
688060,0.03,6000.0,I
688127,0.03,40284.5,C
688229,0.02,4440.0,I
300907,0.02,9600.0,C
688313,0.02,45880.23,C
688569,0.02,21066.67,C
688500,0.02,7427.45,I
688228,0.02,6713.34,I
300880,0.02,13336.0,C
688589,0.02,10000.0,C
688617,0.02,6667.0,C
688379,0.02,8800.0,C
000049,0.02,20719.77,C
688077,0.02,8000.0,C
688560,0.01,16408.77,C
688310,0.01,8360.0,C
300869,0.01,40179.68,C
688165,0.01,52178.0,C
605009,0.01,10667.0,C
688571,0.01,32000.0,C
688678,0.01,17335.0,C
300577,0.01,24016.42,C
000525,0.01,58077.29,C
688585,0.01,40320.0,C
601568,0.01,361111.11,C
688056,0.01,6700.0,C
688577,0.01,5397.17,C
688308,0.01,10000.0,C
688215,0.01,4004.0,C
688679,0.01,13168.97,N
300855,0.01,20000.0,C
300860,0.01,7207.41,R
300926,0.01,14213.34,C
605338,0.01,24800.0,C
