invCode,invPercentage,invCapStock,invIndustry
002410,6.81,118701.24,I
300454,6.45,41380.83,I
300124,5.54,171972.34,C
002475,4.89,702258.39,C
603259,4.77,245051.57,M
300059,4.68,861313.65,J
688561,4.6,67961.6,I
600570,4.38,104409.08,I
600588,4.35,327082.98,I
002241,3.49,341632.1,C
300750,3.45,232947.4,C
600438,3.44,450154.82,C
002600,2.76,705795.41,C
603799,2.65,121290.44,C
002415,2.63,934341.72,C
688981,2.51,789919.81,C
600584,2.33,160287.46,C
600893,2.21,266559.42,C
600456,2.21,47777.75,C
603501,1.99,86759.94,C
600862,1.97,139304.91,C
000733,1.93,51480.56,C
002212,1.87,117693.24,I
002940,1.83,9594.68,C
688019,1.73,5310.84,C
300378,1.72,26626.74,I
603232,1.59,19310.17,I
300034,1.54,48606.87,C
688002,1.2,44500.0,C
688017,1.15,12041.67,C
688008,1.11,113103.03,C
603986,1.01,47439.65,C
300869,0.2,40179.68,C
605186,0.04,13600.0,C
003029,0.03,18040.0,I
003028,0.03,10960.0,C
605155,0.02,9600.0,C
300867,0.02,27174.11,N
605179,0.02,40100.0,C
300877,0.02,12000.0,C
300872,0.02,22468.2,I
300861,0.01,40001.0,C
300876,0.01,9600.0,C
300882,0.01,15725.34,C
300881,0.01,10000.0,C
300878,0.01,8043.91,C
300860,0.01,7207.41,R
003001,0.01,9717.53,E
300873,0.01,13333.33,G
003030,0.01,12478.0,C
300868,0.01,12800.0,C
003031,0.01,10666.67,C
300879,0.01,16000.0,C
300864,0.01,4800.0,N
