invCode,invPercentage,invCapStock,invIndustry
300015,9.48,412151.8,Q
300122,9.01,160000.0,C
603456,7.78,83140.61,C
603520,7.71,24490.47,C
000661,7.54,40472.03,C
300677,7.46,35222.63,C
300595,7.33,60762.29,C
300760,5.98,121569.13,C
300601,5.84,68599.98,C
300363,5.58,54255.25,C
300529,5.39,79910.91,C
600763,5.26,32064.0,Q
603259,4.86,245051.57,M
002821,3.63,24262.67,C
601995,1.09,482725.69,J
300919,0.09,56965.0,C
300918,0.08,36000.0,C
300925,0.07,12947.01,I
300922,0.07,11200.8,C
300869,0.06,40179.68,C
300999,0.04,542159.15,C
300920,0.04,10000.0,C
300926,0.02,14213.34,C
003022,0.02,102736.0,C
300927,0.02,8020.0,C
003026,0.01,9976.0,C
300891,0.01,40000.0,C
003029,0.01,18040.0,I
003028,0.01,10960.0,C
605186,0.01,13600.0,C
605179,0.01,40100.0,C
605500,0.01,20000.0,C
605377,0.01,20386.67,C
003027,0.01,8667.0,N
300890,0.01,10000.0,C
300877,0.01,12000.0,C
003020,0.01,9264.0,F
300895,0.01,9697.02,I
605183,0.01,41401.8,C
300872,0.01,22468.2,I
003023,0.01,8103.2,C
300882,0.01,15725.34,C
300879,0.01,16000.0,C
300871,0.01,11050.7,C
300876,0.01,9600.0,C
003025,0.01,8039.0,C
300861,0.01,40001.0,C
605155,0.01,9600.0,C
300893,0.01,10000.0,C
300878,0.01,8043.91,C
300881,0.01,10000.0,C
605299,0.01,41149.9,C
300900,0.01,21024.0,C
300892,0.01,10000.0,F
300860,0.01,7207.41,R
605277,0.01,13344.0,C
300873,0.01,13333.33,G
