invCode,invPercentage,invCapStock,invIndustry
601633,1.38,917595.33,801880
300274,1.24,145693.94,801730
600438,1.22,450154.82,801730
603882,1.16,45948.76,801150
300059,1.11,861313.65,801790
300014,1.1,188886.54,801730
601877,1.09,214997.36,801730
002304,1.09,150698.8,801120
300482,1.09,34257.09,801150
002709,1.08,54612.94,801030
000333,1.05,704143.57,801110
300357,1.05,52358.4,801150
000568,1.04,146475.25,801120
600060,1.04,130848.12,801110
603833,1.04,60233.3,801140
000725,1.04,3479839.88,801080
600779,1.04,48843.56,801120
000860,1.03,74176.7,801120
600563,1.02,22500.0,801080
601636,1.02,268621.69,801710
603899,1.01,92742.76,801140
300601,1.01,68637.06,801150
300015,1.0,412151.8,801150
601377,1.0,669667.17,801790
600999,1.0,869652.68,801790
002271,1.0,234773.72,801710
002415,1.0,934341.72,801080
600690,0.99,934822.82,801110
300413,0.99,178037.75,801760
000895,0.97,346466.12,801120
002032,0.97,82108.39,801110
600066,0.96,221393.92,801880
601799,0.95,27615.52,801880
603605,0.95,20111.69,801030
600919,0.95,1476960.78,801780
002572,0.95,91237.0,801140
002371,0.94,49644.58,801080
002797,0.94,420240.0,801790
002475,0.94,702258.39,801080
603816,0.93,63228.92,801140
000001,0.93,1940591.82,801780
000869,0.93,68546.4,801120
600298,0.93,82408.09,801010
600415,0.92,548991.42,801200
601128,0.92,274085.59,801780
000100,0.92,1403078.84,801080
002266,0.91,536979.6,801160
601238,0.91,1035099.29,801880
002508,0.91,94902.41,801110
002372,0.91,159211.3,801710
603233,0.91,65862.12,801150
300630,0.9,43702.93,801150
600132,0.9,48397.12,801120
601998,0.9,4893483.96,801780
002142,0.9,600801.63,801780
601988,0.89,29438779.12,801780
000002,0.89,1161773.22,801180
000848,0.89,107641.9,801120
601997,0.89,321802.87,801780
002242,0.89,76716.9,801110
000651,0.88,601573.09,801110
601000,0.88,592592.86,801170
601288,0.88,34998303.39,801780
603885,0.88,196614.42,801170
002511,0.88,131148.71,801140
601229,0.88,1420652.87,801780
600085,0.88,137147.03,801150
601669,0.88,1529903.5,801720
001979,0.87,792324.26,801180
600048,0.87,1196949.33,801180
601006,0.87,1486679.15,801170
002236,0.87,299557.96,801080
300244,0.87,62045.83,801150
600115,0.87,1637950.92,801170
603658,0.86,45097.87,801150
600383,0.86,451458.36,801180
000623,0.86,116304.17,801150
603866,0.86,68015.27,801120
600588,0.86,327082.98,801750
000581,0.86,100895.06,801880
002078,0.86,262468.04,801140
600011,0.85,1569809.34,801160
000938,0.85,286007.99,801750
000031,0.84,428631.33,801180
000961,0.84,382170.48,801180
300271,0.84,82910.72,801750
600466,0.84,303493.04,801180
600694,0.83,29371.87,801200
000400,0.83,100832.73,801730
603986,0.82,47439.65,801080
002607,0.82,616739.94,801760
001914,0.82,106034.61,801180
002127,0.8,245487.04,801200
603708,0.8,60840.1,801200
002375,0.79,133999.65,801720
600373,0.79,135506.37,801760
600801,0.79,209659.99,801710
300136,0.79,96756.86,801080
300315,0.76,275748.42,801760
002701,0.75,241760.74,801140
