invCode,invPercentage,invCapStock,invIndustry
/00700,9.61,959452.4331,000000
/01810,9.48,2520408.8702,000000
/03690,9.09,588852.281,000000
300059,6.96,861313.65,801790
002475,3.59,702258.39,801080
002709,3.34,54612.94,801030
300750,3.28,232947.4,801730
600570,3.13,104409.08,801750
/00268,2.74,346876.2571,000000
/00241,2.71,1348707.6042,000000
300073,2.68,45362.05,801030
002410,2.54,118701.24,801750
601318,2.45,1828024.14,801790
600588,2.44,327082.98,801750
300124,2.17,171972.34,801730
300454,2.16,41380.83,801750
688008,1.93,113103.03,801080
300413,1.88,178037.75,801760
002555,1.61,221786.43,801760
601601,1.59,962034.15,801790
/06098,1.57,299331.4308,000000
300394,1.52,21699.27,801770
300037,1.49,41079.29,801030
688111,1.37,46100.0,801750
300253,1.34,214151.33,801750
300014,1.25,188886.54,801730
300791,1.16,12000.0,801120
300699,1.06,51835.0,801030
603659,0.97,49602.84,801730
603881,0.86,23494.8,801750
300759,0.77,79438.75,801150
603444,0.7,7186.46,801760
603658,0.68,45097.87,801150
002466,0.62,147709.94,801050
600845,0.61,115543.88,801750
300628,0.48,90228.35,801770
/00909,0.45,192714.999,000000
300383,0.4,154313.99,801770
002705,0.4,82672.78,801110
300674,0.3,41336.52,801750
000858,0.21,388160.8,801120
688063,0.14,15484.45,801730
300792,0.1,14430.6,801760
300919,0.07,56965.0,801030
300894,0.05,40500.0,801110
300999,0.04,542159.15,801010
688393,0.02,9334.0,801150
300896,0.02,21636.0,801150
688617,0.02,6667.0,801150
688219,0.02,45928.36,801030
300869,0.01,40179.68,801150
300867,0.01,27174.11,801160
688679,0.01,13168.97,801160
300861,0.01,40001.0,801890
300872,0.01,22468.2,801750
