invCode,invPercentage,invCapStock,invIndustry
/00700,6.7,959452.4331,000000
601888,5.34,195247.55,801210
/00388,4.75,126783.6895,000000
000858,4.31,388160.8,801120
/03690,3.5,588852.281,000000
/00268,2.99,346876.2571,000000
603259,2.9,245051.57,801150
000547,2.85,160542.16,801740
600036,2.75,2521984.56,801780
600031,2.65,848522.14,801890
/00168,2.62,136418.2795,000000
600416,2.41,115495.19,801730
601166,2.28,2077419.08,801780
/06969,2.2,596114.472,000000
600519,2.17,125619.78,801120
600438,2.07,450154.82,801730
002049,2.06,60681.8,801080
300476,1.92,77756.15,801080
603799,1.89,121290.44,801050
000403,1.78,73203.54,801150
300750,1.76,232947.4,801730
002013,1.74,388482.48,801740
002153,1.7,107111.22,801750
/01951,1.7,250758.3802,000000
600570,1.62,104409.08,801750
/06186,1.5,893334.0,000000
002460,1.47,135592.87,801050
/00291,1.41,324417.6905,000000
601012,1.41,386639.48,801730
/00981,1.31,789919.8076,000000
002466,1.27,147709.94,801050
000568,1.15,146475.25,801120
300014,1.09,188886.54,801730
/02318,1.08,1828024.141,000000
002415,1.01,934341.72,801080
/01066,0.96,452233.2324,000000
/01299,0.81,1209494.4139,000000
/01772,0.78,135592.8726,000000
603520,0.73,24490.47,801150
000001,0.72,1940591.82,801780
601318,0.69,1828024.14,801790
603232,0.66,19310.17,801750
002142,0.64,600801.63,801780
002237,0.55,114801.44,801050
/02400,0.53,45411.27,000000
/00285,0.46,225320.45,000000
/06078,0.41,61800.0,000000
/02601,0.34,962034.1455,000000
002867,0.34,73081.56,801140
300059,0.26,861313.65,801790
300775,0.25,49550.0,801740
603993,0.25,2159924.06,801050
300696,0.24,17877.0,801740
000650,0.24,139993.82,801150
002179,0.23,110088.37,801740
002025,0.22,42900.0,801740
603887,0.2,37558.15,801720
002402,0.2,91401.69,801080
002410,0.2,118701.24,801750
300769,0.17,8962.47,801030
/03993,0.17,2159924.0583,000000
002497,0.16,115256.25,801030
002340,0.15,478352.23,801050
688029,0.11,13334.0,801150
002709,0.07,54612.94,801030
688536,0.01,8000.0,801080
688608,0.01,12000.0,801080
300999,0.01,542159.15,801010
