invCode,invPercentage,invCapStock,invIndustry
600809,9.82,87152.83,801120
000568,9.11,146475.25,801120
000858,8.57,388160.8,801120
000333,8.49,704143.57,801110
600519,8.16,125619.78,801120
000596,7.24,50360.0,801120
000860,6.98,74176.7,801120
601888,4.5,195247.55,801210
600600,4.01,136418.28,801120
600660,3.75,250861.75,801880
002568,3.37,53585.24,801120
000651,2.99,601573.09,801110
002714,2.47,375933.03,801010
000423,2.19,65402.15,801150
002032,1.63,82108.39,801110
603833,1.49,60233.3,801140
002242,1.08,76716.9,801110
600887,1.01,608262.48,801120
002304,0.56,150698.8,801120
600104,0.47,1168346.14,801880
600741,0.26,315272.4,801880
