invCode,invPercentage,invCapStock,invIndustry
/00968,5.12,880925.7216,000000
/03690,4.95,588852.281,000000
/00700,4.94,959452.4331,000000
002475,4.12,702258.39,801080
/00388,3.14,126783.6895,000000
002049,2.99,60681.8,801080
/02269,2.79,421014.8571,000000
/00425,2.69,115980.0,000000
/00268,2.15,346876.2571,000000
/06969,2.02,596114.472,000000
000661,1.81,40472.03,801150
300760,1.81,121569.13,801150
/01873,1.74,192497.312,000000
000100,1.73,1403078.84,801080
603337,1.69,44586.85,801890
/00241,1.68,1348707.6042,000000
300630,1.65,43702.93,801150
600570,1.65,104409.08,801750
300601,1.64,68637.06,801150
603259,1.61,245051.57,801150
603806,1.52,76955.24,801730
603658,1.48,45097.87,801150
603233,1.46,65862.12,801150
/02382,1.45,109684.97,000000
002555,1.37,221786.43,801760
300378,1.33,26626.74,801750
/01177,1.33,1886149.923,000000
/02400,1.28,45411.27,000000
300502,1.23,36220.45,801770
/02238,1.19,1035099.2882,000000
002938,1.19,231143.08,801080
/03800,1.18,2506154.358,000000
688018,1.12,8003.05,801080
/06169,1.07,335513.9983,000000
688016,1.03,7197.81,801150
688029,0.99,13334.0,801150
300014,0.96,188886.54,801730
600763,0.95,32064.0,801150
603456,0.94,83140.61,801150
/01951,0.92,250758.3802,000000
/00667,0.87,219696.0206,000000
002985,0.81,15016.0,801740
688169,0.79,6666.67,801890
300253,0.78,214151.33,801750
/03692,0.74,591899.12,000000
/01801,0.57,145560.0997,000000
600486,0.56,30989.89,801030
/01896,0.53,113909.6201,000000
300059,0.51,861313.65,801790
002127,0.4,245487.04,801200
002943,0.25,10000.0,801890
/02005,0.25,302707.3385,000000
688116,0.2,23185.81,801030
603197,0.18,16513.3,801880
688567,0.07,107066.97,801730
300999,0.03,542159.15,801010
688339,0.02,7050.0,801730
300896,0.01,21636.0,801150
688418,0.01,19361.0,801770
