invCode,invPercentage,invCapStock,invIndustry
300014,6.5,188886.54,801730
600409,5.77,206434.94,801030
601615,5.74,195092.87,801730
600519,4.53,125619.78,801120
603267,4.43,23147.6,801740
600416,4.38,115495.19,801730
300750,4.14,232947.4,801730
300034,3.79,48606.87,801740
688002,3.74,44500.0,801080
000708,3.67,504714.34,801040
300413,3.43,178037.75,801760
000547,3.43,160542.16,801740
300726,3.26,40010.0,801080
002189,3.05,26252.52,801080
603801,2.86,22333.34,801140
603113,2.73,85147.46,801020
300059,2.7,861313.65,801790
002202,2.68,422506.76,801730
603303,2.6,48771.54,801080
300782,2.59,18531.15,801080
002967,2.56,52907.2,801230
002414,2.37,159185.29,801080
000733,2.18,51480.56,801080
601995,1.94,482725.69,801790
002475,1.93,702258.39,801080
603313,1.84,37511.57,801140
000513,1.68,93909.55,801150
600380,1.29,195662.92,801150
688388,0.67,23087.6,801050
601058,0.4,306417.48,801030
300855,0.04,20000.0,801050
605179,0.02,40100.0,801120
605155,0.01,9600.0,801030
605277,0.01,13344.0,801730
003030,0.01,12478.0,801120
003031,0.01,10666.67,801770
