invCode,invPercentage,invCapStock,invIndustry
603129,5.7,13437.82,801880
300073,4.9,45362.05,801030
601012,3.89,386639.48,801730
002850,3.41,23292.05,801730
688122,3.11,44127.2,801050
000636,3.0,89523.31,801080
300014,2.81,188886.54,801730
002179,2.7,110088.37,801740
600176,2.68,350230.68,801030
600346,2.6,703909.98,801030
603456,2.52,83140.61,801150
603960,2.25,26094.45,801890
300759,2.11,79438.75,801150
000786,2.07,168950.78,801710
300274,1.98,145693.94,801730
600399,1.9,197210.0,801040
002985,1.9,15016.0,801740
300726,1.9,40010.0,801080
300037,1.89,41079.29,801030
601233,1.83,228753.1,801030
600031,1.82,848522.14,801890
688388,1.81,23087.6,801050
688390,1.8,8800.0,801730
300207,1.78,157462.7,801080
300777,1.75,40001.0,801030
688002,1.69,44500.0,801080
002497,1.66,115256.25,801030
603678,1.64,45985.35,801740
300763,1.64,14566.08,801730
002064,1.59,463351.92,801030
002709,1.57,54612.94,801030
002812,1.57,88762.98,801030
603993,1.57,2159924.06,801050
603799,1.34,121290.44,801050
603317,1.24,63044.44,801120
300395,1.19,33794.88,801050
300390,1.18,55127.6,801080
000913,1.08,45353.6,801880
688186,1.04,16480.0,801040
002074,1.03,128054.45,801730
002340,1.02,478352.23,801050
688598,0.99,8000.0,801050
603267,0.97,23147.6,801740
603906,0.96,34435.1,801030
600298,0.86,82408.09,801010
002414,0.83,159185.29,801080
002977,0.82,7150.0,801740
300122,0.76,160000.0,801150
600966,0.69,133684.43,801140
300258,0.66,48177.08,801880
002430,0.51,96460.38,801890
688063,0.08,15484.45,801730
300866,0.08,40642.72,801080
688256,0.07,40010.0,801080
688686,0.03,8247.57,801890
688777,0.03,49408.4,801730
300999,0.02,542159.15,801010
688658,0.02,45000.0,801150
300894,0.02,40500.0,801110
688221,0.02,35976.0,801150
688286,0.01,5320.0,801080
300896,0.01,21636.0,801150
688556,0.01,16185.14,801890
688559,0.01,20000.0,801890
688136,0.01,19870.07,801150
688338,0.01,8164.8,801150
688377,0.01,19466.7,801890
300880,0.01,13336.0,801730
